\ell, cls, \sigma_\ell
1.610000000000000000e+02 1.097073310389494294e+00 8.345386341713675882e-02
1.620000000000000000e+02 1.136993998019100616e+00 8.295386955052330702e-02
1.630000000000000000e+02 1.098984905837227188e+00 8.245734153411381218e-02
1.640000000000000000e+02 1.037328183452495445e+00 8.196407312164803727e-02
1.650000000000000000e+02 1.065690018826104479e+00 8.147405588788882158e-02
1.660000000000000000e+02 8.801996029295000579e-01 8.098715530347860847e-02
1.670000000000000000e+02 1.038875130417466597e+00 8.050330331172358966e-02
1.680000000000000000e+02 1.006063402839367349e+00 8.002243350981029513e-02
1.690000000000000000e+02 1.176742570187871095e+00 7.954448108615902457e-02
1.700000000000000000e+02 1.052378666425945575e+00 7.906938276019834233e-02
1.710000000000000000e+02 1.112899780969208718e+00 7.859701786077666341e-02
1.720000000000000000e+02 1.061937702799803818e+00 7.812744439524473006e-02
1.730000000000000000e+02 1.081291978040017643e+00 7.766048625292211460e-02
1.740000000000000000e+02 1.111716072256974774e+00 7.719608764992855199e-02
1.750000000000000000e+02 1.015693425956226026e+00 7.673425025060275073e-02
1.760000000000000000e+02 9.945409901208057679e-01 7.627486345378446664e-02
1.770000000000000000e+02 9.576109256263143354e-01 7.581787668634075439e-02
1.780000000000000000e+02 9.938697855652630642e-01 7.536318625567915708e-02
1.790000000000000000e+02 8.924999298999041208e-01 7.491079945275107288e-02
1.800000000000000000e+02 9.017517568013133644e-01 7.446066881654821168e-02
1.810000000000000000e+02 1.068442036236881609e+00 7.401269500995197315e-02
1.820000000000000000e+02 9.834525844717199039e-01 7.356688609185707550e-02
1.830000000000000000e+02 1.060856500887091824e+00 7.312319705363794220e-02
1.840000000000000000e+02 8.067067003666638092e-01 7.268153252915206253e-02
1.850000000000000000e+02 9.352492657946874788e-01 7.224190117255283039e-02
1.860000000000000000e+02 9.368422097765665146e-01 7.180421005769241360e-02
1.870000000000000000e+02 9.835231895974778649e-01 7.136846813906501386e-02
1.880000000000000000e+02 1.012747174318599841e+00 7.093463390355959908e-02
1.890000000000000000e+02 9.063559722159213461e-01 7.050261782734494609e-02
1.900000000000000000e+02 8.788804647175290086e-01 7.007242921319693785e-02
1.910000000000000000e+02 1.028748645956928165e+00 6.964402834049164548e-02
1.920000000000000000e+02 8.418406683188888184e-01 6.921732878279977796e-02
1.930000000000000000e+02 9.075142194029338638e-01 6.879229323907977423e-02
1.940000000000000000e+02 8.724672628590255385e-01 6.836897765165693419e-02
1.950000000000000000e+02 8.532032646610481219e-01 6.794729711105827741e-02
1.960000000000000000e+02 8.870822480185872605e-01 6.752725999299685755e-02
1.970000000000000000e+02 8.640181981536587674e-01 6.710887348926387885e-02
1.980000000000000000e+02 8.575151073349621678e-01 6.669214366538488148e-02
1.990000000000000000e+02 8.714763149500193151e-01 6.627694247779475356e-02
2.000000000000000000e+02 8.857964085259676379e-01 6.586336529492807512e-02
2.010000000000000000e+02 9.055083125549583389e-01 6.545132809078683944e-02
2.020000000000000000e+02 7.827242858808735049e-01 6.504078836408000441e-02
2.030000000000000000e+02 8.186650725150225183e-01 6.463161761277670669e-02
2.040000000000000000e+02 8.607010939423206386e-01 6.422386076335254157e-02
2.050000000000000000e+02 8.738924726186647618e-01 6.381734975433371593e-02
2.060000000000000000e+02 7.523460558000008014e-01 6.341213017851921041e-02
2.070000000000000000e+02 7.687038726365521546e-01 6.300812097303916393e-02
2.080000000000000000e+02 8.866420513757636845e-01 6.260528398953148221e-02
2.090000000000000000e+02 8.290912585578933403e-01 6.220378548875406949e-02
2.100000000000000000e+02 7.734423084084420807e-01 6.180354284536018067e-02
2.110000000000000000e+02 8.192123634573192925e-01 6.140459573268471083e-02
2.120000000000000000e+02 7.046579687602587683e-01 6.100702171120814254e-02
2.130000000000000000e+02 8.068805459368476596e-01 6.061081612284844461e-02
2.140000000000000000e+02 7.962897892456590743e-01 6.021601298950033515e-02
2.150000000000000000e+02 7.965987260409188586e-01 5.982260563168855655e-02
2.160000000000000000e+02 7.561300994446517043e-01 5.943050947124425137e-02
2.170000000000000000e+02 8.074409393785719757e-01 5.903971850744430677e-02
2.180000000000000000e+02 7.678364466885658768e-01 5.865022621125180746e-02
2.190000000000000000e+02 8.600821819902043641e-01 5.826198767126085365e-02
2.200000000000000000e+02 6.518354853237035007e-01 5.787495854160508435e-02
2.210000000000000000e+02 8.106035467402746830e-01 5.748916971881327942e-02
2.220000000000000000e+02 6.476414248784670979e-01 5.710453927518447520e-02
2.230000000000000000e+02 6.929080908801831251e-01 5.672109736569697080e-02
2.240000000000000000e+02 6.954178699310388234e-01 5.633887266891692003e-02
2.250000000000000000e+02 8.076305486694718150e-01 5.595785608080610513e-02
2.260000000000000000e+02 7.107340427035402364e-01 5.557800194746655847e-02
2.270000000000000000e+02 7.532579570490023357e-01 5.519933694540697655e-02
2.280000000000000000e+02 6.652648329394643678e-01 5.482185075445528133e-02
2.290000000000000000e+02 7.423835701917549379e-01 5.444556813798426959e-02
2.300000000000000000e+02 6.704179110455428248e-01 5.407044214157306905e-02
2.310000000000000000e+02 6.441308827613112520e-01 5.369649639169021826e-02
2.320000000000000000e+02 6.971914301495725219e-01 5.332375333527650252e-02
2.330000000000000000e+02 7.441023326627528300e-01 5.295216505338942031e-02
2.340000000000000000e+02 5.957414136686993711e-01 5.258171856359140917e-02
2.350000000000000000e+02 6.982915086607142108e-01 5.221246902617232566e-02
2.360000000000000000e+02 6.182417164626223816e-01 5.184433365228608565e-02
2.370000000000000000e+02 5.812285188856514129e-01 5.147740012061551712e-02
2.380000000000000000e+02 6.651486669266627461e-01 5.111161898485348104e-02
2.390000000000000000e+02 6.106203016472206979e-01 5.074700825806329613e-02
2.400000000000000000e+02 6.087670439354766483e-01 5.038355171203054428e-02
2.410000000000000000e+02 5.912956676563558833e-01 5.002123290747433060e-02
2.420000000000000000e+02 5.644543972380892116e-01 4.966010110173184333e-02
2.430000000000000000e+02 6.226367894741882125e-01 4.930013843512931482e-02
2.440000000000000000e+02 5.776006238088500222e-01 4.894132687931077030e-02
2.450000000000000000e+02 5.938692719279764498e-01 4.858371316327167455e-02
2.460000000000000000e+02 5.805173890892523225e-01 4.822731028494700589e-02
2.470000000000000000e+02 5.853429830409936363e-01 4.787206618689618387e-02
2.480000000000000000e+02 5.709236821832164299e-01 4.751805730973697461e-02
2.490000000000000000e+02 5.910255316301593620e-01 4.716523076208769399e-02
2.500000000000000000e+02 5.304202378818899666e-01 4.681362927988735878e-02
2.510000000000000000e+02 5.914561566956965111e-01 4.646319961652919245e-02
2.520000000000000000e+02 5.156061377031887494e-01 4.611395176200822760e-02
2.530000000000000000e+02 5.287741656753508490e-01 4.576586373833083782e-02
2.540000000000000000e+02 5.536139285816280564e-01 4.541897581774227005e-02
2.550000000000000000e+02 4.944721362431280243e-01 4.507320298003046621e-02
2.560000000000000000e+02 5.141229142235670402e-01 4.472858480596843267e-02
2.570000000000000000e+02 4.903654584558131968e-01 4.438512899081431540e-02
2.580000000000000000e+02 5.052829303690743457e-01 4.404287334245414465e-02
2.590000000000000000e+02 5.386868808809427422e-01 4.370182410173498871e-02
2.600000000000000000e+02 4.746881714322145340e-01 4.336204789334991566e-02
2.610000000000000000e+02 4.817949431978318375e-01 4.302351896570903028e-02
2.620000000000000000e+02 4.327174689275110619e-01 4.268630223991341788e-02
2.630000000000000000e+02 4.250176749558353118e-01 4.235040111666423662e-02
2.640000000000000000e+02 4.528423266112544532e-01 4.201581860905401200e-02
2.650000000000000000e+02 4.752861232707631944e-01 4.168252744235503848e-02
2.660000000000000000e+02 4.164501755889548074e-01 4.135053019381997041e-02
2.670000000000000000e+02 4.046166544184094382e-01 4.101985880415396496e-02
2.680000000000000000e+02 4.329685485802870493e-01 4.069048523961378561e-02
2.690000000000000000e+02 4.382564095874744159e-01 4.036238151227117266e-02
2.700000000000000000e+02 4.063906569014481551e-01 4.003554911873462296e-02
2.710000000000000000e+02 3.941599871054584647e-01 3.971004796613391424e-02
2.720000000000000000e+02 3.959772043207972492e-01 3.938581986096422599e-02
2.730000000000000000e+02 4.112205717912376102e-01 3.906295299634313795e-02
2.740000000000000000e+02 3.977195934588327320e-01 3.874138872592695210e-02
2.750000000000000000e+02 4.173038998644227338e-01 3.842115592301928451e-02
2.760000000000000000e+02 3.732099651644925076e-01 3.810231189310711586e-02
2.770000000000000000e+02 4.287662456380079701e-01 3.778482644054118739e-02
2.780000000000000000e+02 4.051649345233857002e-01 3.746869829355840842e-02
2.790000000000000000e+02 3.269091639512609060e-01 3.715395475731426284e-02
2.800000000000000000e+02 3.570249940700120361e-01 3.684062269823134422e-02
2.810000000000000000e+02 3.995156495095654736e-01 3.652867129490132425e-02
2.820000000000000000e+02 3.815782799631679545e-01 3.621812698956963089e-02
2.830000000000000000e+02 3.877761017209032102e-01 3.590901585110214955e-02
2.840000000000000000e+02 3.864195399063914960e-01 3.560130667203734167e-02
2.850000000000000000e+02 3.625961622480720070e-01 3.529502518465253008e-02
2.860000000000000000e+02 3.527521076497378005e-01 3.499016844850523500e-02
2.870000000000000000e+02 3.255404777184848775e-01 3.468679006099575218e-02
2.880000000000000000e+02 3.335288059390597581e-01 3.438485836908779930e-02
2.890000000000000000e+02 3.437279578846642036e-01 3.408437007296927918e-02
2.900000000000000000e+02 3.516018403206748744e-01 3.378537817151752720e-02
2.910000000000000000e+02 3.227241538572206414e-01 3.348787901811810935e-02
2.920000000000000000e+02 3.217359469412448547e-01 3.319184085465535367e-02
2.930000000000000000e+02 3.249743213140824372e-01 3.289728817782237164e-02
2.940000000000000000e+02 2.653035171625130473e-01 3.260424532686109766e-02
2.950000000000000000e+02 2.991952194261877085e-01 3.231268052965791115e-02
2.960000000000000000e+02 3.155354063918599516e-01 3.202261807427174423e-02
2.970000000000000000e+02 2.986018869098325257e-01 3.173402628503852602e-02
2.980000000000000000e+02 2.763097038333964250e-01 3.144695732968335461e-02
2.990000000000000000e+02 2.853125218265640251e-01 3.116140744201671697e-02
3.000000000000000000e+02 2.771928773598927864e-01 3.087737290617989169e-02
3.010000000000000000e+02 3.099250322285305170e-01 3.059487837233323265e-02
3.020000000000000000e+02 2.850397345864061904e-01 3.031395038742992765e-02
3.030000000000000000e+02 2.827170324854892391e-01 3.003458818243400635e-02
3.040000000000000000e+02 2.559475878634753232e-01 2.975681885246203931e-02
3.050000000000000000e+02 2.621156914961444984e-01 2.948066952886225361e-02
3.060000000000000000e+02 2.652522251776724960e-01 2.920611190187256262e-02
3.070000000000000000e+02 2.728222273312171930e-01 2.893320105296048536e-02
3.080000000000000000e+02 2.628278302490243967e-01 2.866193665311922434e-02
3.090000000000000000e+02 2.366765765581170522e-01 2.839231852434367237e-02
3.100000000000000000e+02 2.402004368642929599e-01 2.812431892701636876e-02
3.110000000000000000e+02 2.356196868185952142e-01 2.785802116085171753e-02
3.120000000000000000e+02 2.506578682021892157e-01 2.759337009538853289e-02
3.130000000000000000e+02 2.145312246742400730e-01 2.733042165140314728e-02
3.140000000000000000e+02 2.065833355308611674e-01 2.706917651516865461e-02
3.150000000000000000e+02 2.262298546966229618e-01 2.680960786517044836e-02
3.160000000000000000e+02 2.369962260926838649e-01 2.655177224402891639e-02
3.170000000000000000e+02 2.152928765920238963e-01 2.629567100101624921e-02
3.180000000000000000e+02 2.379323839072733371e-01 2.604133346124793205e-02
3.190000000000000000e+02 2.154672103658233084e-01 2.578873374188730278e-02
3.200000000000000000e+02 2.156803692975709508e-01 2.553787393520686941e-02
3.210000000000000000e+02 2.019242079462722772e-01 2.528883970254271543e-02
3.220000000000000000e+02 2.195970910078553218e-01 2.504155043875458050e-02
3.230000000000000000e+02 1.946244284383585321e-01 2.479609244948754662e-02
3.240000000000000000e+02 2.172614147101688264e-01 2.455241344429671957e-02
3.250000000000000000e+02 1.885257535552372632e-01 2.431057264051614611e-02
3.260000000000000000e+02 1.752068741175336897e-01 2.407054615530395542e-02
3.270000000000000000e+02 1.854376895430900618e-01 2.383236610361495755e-02
3.280000000000000000e+02 1.984142030840168325e-01 2.359603712137204115e-02
3.290000000000000000e+02 1.828318850104439230e-01 2.336156418964769471e-02
3.300000000000000000e+02 1.687286258328818955e-01 2.312898059171095838e-02
3.310000000000000000e+02 1.811647305235465910e-01 2.289826412636164835e-02
3.320000000000000000e+02 1.727799707415983710e-01 2.266944886476824142e-02
3.330000000000000000e+02 1.579693040124715286e-01 2.244251330427373542e-02
3.340000000000000000e+02 1.788172990963984854e-01 2.221749234032808010e-02
3.350000000000000000e+02 1.626246128592616913e-01 2.199442138819445933e-02
3.360000000000000000e+02 1.634635803110005281e-01 2.177328014347452295e-02
3.370000000000000000e+02 1.551762268744729389e-01 2.155407675068090126e-02
3.380000000000000000e+02 1.653496537702673352e-01 2.133681977700825627e-02
3.390000000000000000e+02 1.632055550793312382e-01 2.112154645570165495e-02
3.400000000000000000e+02 1.396437148739146927e-01 2.090826633473684762e-02
3.410000000000000000e+02 1.554796161245941832e-01 2.069696110198146824e-02
3.420000000000000000e+02 1.327764332288386695e-01 2.048764109702186018e-02
3.430000000000000000e+02 1.244026447119342543e-01 2.028031711901336076e-02
3.440000000000000000e+02 1.330867999000332202e-01 2.007497200072407006e-02
3.450000000000000000e+02 1.313133714990676881e-01 1.987161735411637972e-02
3.460000000000000000e+02 1.380672697364783708e-01 1.967026526544672985e-02
3.470000000000000000e+02 1.263375904842483355e-01 1.947089973940040186e-02
3.480000000000000000e+02 1.240081601380956661e-01 1.927353369528567173e-02
3.490000000000000000e+02 1.197303926789013567e-01 1.907820919280916322e-02
3.500000000000000000e+02 1.158093758213979835e-01 1.888491157228450179e-02
3.510000000000000000e+02 1.105155776992208100e-01 1.869368465965311199e-02
3.520000000000000000e+02 1.220121692967589544e-01 1.850454690699595769e-02
3.530000000000000000e+02 1.148432029384607034e-01 1.831748913927584710e-02
3.540000000000000000e+02 1.063857914716347247e-01 1.813253141686077194e-02
3.550000000000000000e+02 1.144730181320065543e-01 1.794972327711712515e-02
3.560000000000000000e+02 1.177253622564466834e-01 1.776902803321849314e-02
3.570000000000000000e+02 1.141370180062366568e-01 1.759046721891115508e-02
3.580000000000000000e+02 1.227346318427308680e-01 1.741406290622896438e-02
3.590000000000000000e+02 1.038363189298623507e-01 1.723980856878719325e-02
3.600000000000000000e+02 1.125625048484299590e-01 1.706769801534038788e-02
3.610000000000000000e+02 1.004320765476215127e-01 1.689775461930441772e-02
3.620000000000000000e+02 1.043210576881876961e-01 1.672997299434570567e-02
3.630000000000000000e+02 9.665671691744973093e-02 1.656440673987554305e-02
3.640000000000000000e+02 9.408639090634611513e-02 1.640099263434903129e-02
3.650000000000000000e+02 8.792308961909268972e-02 1.623981452370706902e-02
3.660000000000000000e+02 9.089290418438304708e-02 1.608083921886709067e-02
3.670000000000000000e+02 1.036987024957137932e-01 1.592409267830835473e-02
3.680000000000000000e+02 8.099048181942813951e-02 1.576957175444201886e-02
3.690000000000000000e+02 9.978205348216624693e-02 1.561727356527998697e-02
3.700000000000000000e+02 9.626955192351684121e-02 1.546725481655832762e-02
3.710000000000000000e+02 8.717846575414071875e-02 1.531945397161491550e-02
3.720000000000000000e+02 8.886981764993363841e-02 1.517392838359318645e-02
3.730000000000000000e+02 8.287353722668476530e-02 1.503064657259463657e-02
3.740000000000000000e+02 7.616242333443035140e-02 1.488963676338882561e-02
3.750000000000000000e+02 8.087228540240658237e-02 1.475086776448852194e-02
3.760000000000000000e+02 8.386315691425325070e-02 1.461436822730677321e-02
3.770000000000000000e+02 7.423630813860994382e-02 1.448016710603766688e-02
3.780000000000000000e+02 8.035130834720206894e-02 1.434820364090897381e-02
3.790000000000000000e+02 7.036821800293345530e-02 1.421853700869703252e-02
3.800000000000000000e+02 6.804767470224798442e-02 1.409116662215362768e-02
3.810000000000000000e+02 7.438119596683451240e-02 1.396606185525474213e-02
3.820000000000000000e+02 7.256714007515877030e-02 1.384325224544655404e-02
3.830000000000000000e+02 7.079638642136037996e-02 1.372273731179050361e-02
3.840000000000000000e+02 7.426682670939500908e-02 1.360448638474136968e-02
3.850000000000000000e+02 7.659972425278036012e-02 1.348849886594092641e-02
3.860000000000000000e+02 6.795083521779834990e-02 1.337480433105481432e-02
